Soil Moisture,SM_Per,Temp,Humidity,Class
1023,0,35,40,very dry
1023,0,35,40,very dry
1023,0,35,41,very dry
1023,0,35,42,very dry
1023,0,34,42,very dry
1023,0,34,42,very dry
1023,0,34,42,very dry
1023,0,34,42,very dry
1023,0,34,42,very dry
1023,0,34,44,very dry
1023,0,34,43,very dry
1023,0,34,43,very dry
1023,0,34,46,very dry
1023,0,34,47,very dry
1023,0,34,47,very dry
1023,0,34,47,very dry
1023,0,34,47,very dry
1023,0,34,46,very dry
1023,0,34,46,very dry
1023,0,34,52,very dry
1023,0,34,48,very dry
1023,0,34,48,very dry
1023,0,34,47,very dry
1023,0,34,46,very dry
1023,0,34,45,very dry
1023,0,34,44,very dry
1023,0,34,43,very dry
1023,0,34,42,very dry
1023,0,34,42,very dry
1023,0,34,42,very dry
715,30.10752688,34,48,very dry
843,17.59530792,34,52,very dry
758,25.90420332,34,53,very dry
568,44.47702835,34,53,dry
421,58.84652981,34,50,dry
426,58.35777126,33,50,dry
430,57.96676442,33,52,dry
285,72.14076246,33,52,very wet
309,69.79472141,33,54,wet
324,68.32844575,33,54,wet
308,69.89247312,33,56,wet
315,69.20821114,33,55,wet
294,71.26099707,33,55,very wet
270,73.60703812,33,52,very wet
283,72.33626588,33,50,very wet
266,73.99804497,33,52,very wet
262,74.38905181,33,51,very wet
283,72.33626588,33,49,very wet
291,71.5542522,33,48,very wet
274,73.21603128,33,50,very wet
291,71.5542522,33,52,wet
301,70.57673509,33,54,wet
305,70.18572825,33,56,wet
305,70.18572825,33,57,wet
990,3.225806452,33,50,very dry
994,2.834799609,33,50,very dry
995,2.737047898,33,51,very dry
997,2.541544477,33,52,very dry
998,2.443792766,33,51,very dry
1023,0,33,49,very dry
1023,0,33,50,very dry
1023,0,33,51,very dry
1023,0,33,50,very dry
1023,0,33,51,very dry
1011,1.173020528,33,51,very dry
1001,2.150537634,33,52,very dry
1001,2.150537634,33,52,very dry
1001,2.150537634,33,52,very dry
1001,2.150537634,33,52,very dry
999,2.346041056,33,52,very dry
995,2.737047898,33,51,very dry
985,3.714565005,33,50,very dry
733,28.34799609,33,49,dry
723,29.3255132,33,48,dry
285,72.14076246,30,57,very wet
292,71.45650049,30,56,very wet
290,71.65200391,31,56,very wet
290,71.65200391,30,55,very wet
290,71.65200391,30,54,very wet
292,71.45650049,30,53,very wet
292,71.45650049,30,54,very wet
293,71.35874878,30,54,very wet
298,70.86999022,30,55,very wet
